,game_pk,away_team,away_sp,np,ip,er,k,bb,h
475,718305,CWS,458681,103,6.67,4.0,8,0,8
476,718303,MIA,665795,95,5.0,3.0,8,1,5
477,718302,COL,622608,69,5.0,1.0,3,1,3
478,718301,BOS,519242,98,6.0,3.0,10,1,7
479,718300,NYY,666745,65,4.0,4.0,2,1,6
480,718293,MIL,669203,94,6.0,2.0,5,3,4
481,718298,BAL,665152,93,6.0,1.0,3,2,6
482,718297,HOU,664299,94,7.0,3.0,8,2,3
483,718296,WSH,680686,92,5.0,3.0,6,2,7
484,718295,LAD,477132,94,4.67,4.0,7,5,8
485,718294,TEX,641540,72,5.0,0.0,3,1,2
486,718292,DET,571510,87,6.0,1.0,6,0,4
487,718299,OAK,666205,94,5.33,5.0,1,3,8
488,718286,TOR,621244,100,6.33,2.0,7,1,5
489,718291,NYY,593334,81,5.0,2.0,5,2,4
490,718290,COL,596295,86,6.0,2.0,3,2,5
491,718289,MIA,598264,24,1.0,0.0,2,0,2
492,718288,DET,605513,92,4.67,5.0,6,1,7
493,718287,MIL,607067,89,6.0,3.0,4,1,4
494,718285,MIN,543243,90,5.0,3.0,6,3,4
495,718274,HOU,641585,84,5.0,0.0,5,1,3
496,718283,BAL,680694,86,5.0,3.0,4,2,5
497,718282,WSH,669022,95,6.0,2.0,9,1,8
