,game_pk,home_team,home_sp,np,ip,er,k,bb,h
288,718491,CHC,592767,103,7.67,0.0,10,0,1
289,718495,BAL,669330,95,7.0,0.0,5,1,3
290,718490,TEX,592351,92,5.33,3.0,2,5,6
291,718489,ATL,693821,98,6.0,0.0,6,1,5
292,718487,NYY,593334,91,6.0,4.0,6,2,5
293,718483,MIL,642547,99,5.67,4.0,4,2,5
294,718485,LAA,660271,102,7.0,0.0,11,2,2
295,718484,AZ,668678,96,7.0,0.0,11,0,2
296,718482,MIN,641816,92,6.33,1.0,4,0,3
297,718481,SEA,669923,86,6.0,2.0,5,0,3
298,718480,SF,543101,80,5.0,4.0,5,2,7
299,718486,TB,676534,46,2.0,3.0,3,0,5
300,718474,PIT,448179,96,5.0,0.0,7,3,6
301,718488,CLE,668676,90,5.0,3.0,5,2,10
302,718479,CHC,669713,64,4.33,3.0,1,1,5
303,718478,SF,657277,98,7.0,2.0,8,1,5
304,718477,TB,663556,88,6.0,2.0,10,1,3
305,718476,NYY,543037,96,5.67,0.0,4,2,4
306,718475,PHI,650911,73,4.33,3.0,5,2,5
307,718473,CLE,669456,103,5.67,3.0,4,4,4
308,718464,SEA,622491,100,5.0,3.0,8,2,7
309,718471,ATL,657140,95,5.0,3.0,2,1,7
310,718466,LAA,542881,64,5.33,5.0,1,0,7
311,718467,AZ,518876,94,5.0,4.0,7,5,3
312,718472,BAL,502043,96,6.33,1.0,11,3,2
313,718469,TEX,571760,97,6.0,2.0,4,2,5
314,718470,MIL,489119,80,5.0,2.0,3,1,4
315,718468,MIN,641154,83,4.0,5.0,6,2,8
316,718463,PIT,592826,100,7.0,0.0,10,2,2
317,718462,ATL,608331,107,6.67,0.0,5,3,3
318,718461,MIL,669203,91,5.0,2.0,5,3,5
319,718460,CLE,671106,86,6.0,1.0,8,1,5
320,718459,BAL,680570,92,5.0,0.0,6,3,5
321,718458,PHI,554430,111,6.0,3.0,11,3,3
322,718457,TB,621107,67,5.0,1.0,4,0,3
323,718465,NYY,657376,76,5.67,0.0,8,1,3
324,718455,SF,548389,67,3.33,2.0,1,1,6
325,718454,MIN,641927,89,5.67,1.0,4,3,3
326,718453,TEX,594798,80,6.0,1.0,11,0,3
327,718452,LAA,672282,90,5.67,2.0,6,1,7
328,718451,CHC,573186,95,5.0,5.0,5,1,6
329,718450,SEA,623167,84,4.0,6.0,3,3,9
330,718456,AZ,686753,43,1.0,3.0,1,3,3
331,718449,TB,671737,82,5.0,3.0,6,0,4
332,718448,CLE,615698,80,3.33,5.0,2,2,8
333,718447,BAL,665152,87,5.67,4.0,5,1,7
334,718446,SF,502171,109,9.0,0.0,4,1,6
335,718445,CIN,666157,86,4.0,6.0,6,2,9
336,718444,TOR,605135,98,6.33,2.0,4,3,3
337,718442,MIN,543243,107,7.0,0.0,8,2,3
338,718441,MIL,607067,79,5.0,4.0,1,4,5
339,718438,AZ,674072,73,4.33,3.0,1,4,4
340,718437,LAA,660761,80,5.0,7.0,5,2,8
341,718443,ATL,675911,101,8.0,0.0,13,0,2
342,718433,TOR,621244,103,7.0,0.0,9,1,4
343,718440,CLE,685410,97,4.67,4.0,4,4,6
344,718439,SF,605154,24,1.33,0.0,2,0,1
345,718436,TB,656876,94,4.67,5.0,5,2,9
346,718435,BAL,680694,81,2.33,7.0,1,4,8
347,718434,CIN,596133,99,5.67,6.0,8,2,8
348,718432,PIT,670912,94,5.33,4.0,4,2,6
349,718426,CHC,657006,98,5.33,0.0,5,2,3
350,718430,PHI,663559,98,6.0,3.0,7,0,6
351,718429,ATL,450203,108,7.0,1.0,9,2,3
352,718428,MIL,641778,85,3.0,4.0,4,2,8
353,718427,MIN,657746,91,7.0,1.0,7,0,7
354,718425,LAA,656288,88,5.0,3.0,7,2,4
355,718422,AZ,669194,83,5.0,4.0,3,0,11
356,718431,NYM,676130,93,4.67,2.0,1,6,4
357,718424,CIN,668933,101,6.0,2.0,3,4,3
358,718423,SF,543101,96,6.0,2.0,6,1,6
359,718421,CLE,676440,91,5.67,1.0,8,0,6
360,718420,TOR,579328,89,5.67,0.0,8,1,4
361,718419,MIL,642547,98,6.0,2.0,8,0,5
362,718418,AZ,668678,97,6.33,0.0,12,0,4
363,718417,MIN,628317,72,3.0,10.0,2,2,11
364,718415,PHI,592836,68,4.0,5.0,6,2,5
365,718414,TB,676534,43,2.0,1.0,1,2,1
366,718413,PIT,672710,87,6.0,0.0,5,2,2
367,718412,NYM,673540,94,5.0,2.0,7,4,5
368,718411,ATL,693821,96,5.33,4.0,3,2,5
369,718408,LAA,663776,105,7.0,2.0,5,0,6
370,718407,CHC,592767,89,5.0,2.0,4,1,4
371,718416,BAL,669330,102,5.67,2.0,7,1,4
372,718404,PHI,621381,60,5.33,0.0,5,0,2
373,718410,ATL,657140,45,3.0,0.0,6,1,2
374,718406,CHC,669713,74,5.0,1.0,3,1,4
375,718405,DET,666214,86,5.67,2.0,6,1,4
376,718403,PIT,656605,97,6.0,2.0,10,1,5
377,718409,SF,657277,102,6.67,2.0,7,1,7
378,718400,MIN,641816,66,4.0,1.0,6,0,2
379,718398,NYM,664192,90,5.33,3.0,3,2,5
380,718397,TEX,571760,97,6.0,3.0,6,1,4
381,718402,LAA,660271,93,6.0,5.0,8,2,3
382,718396,CWS,656302,99,4.0,6.0,3,2,9
383,718395,BOS,601713,100,5.0,4.0,5,2,5
384,718394,NYM,656849,73,5.0,4.0,6,1,5
385,718393,CWS,608337,97,6.67,2.0,6,0,8
386,718392,TOR,666201,100,5.0,2.0,7,4,6
387,718391,MIA,666200,96,6.33,2.0,6,2,5
388,718390,COL,607536,94,6.0,3.0,3,1,5
389,718380,OAK,607968,89,5.67,3.0,1,1,11
390,718388,TEX,594798,50,3.67,0.0,2,1,1
391,718387,MIN,641154,92,6.0,6.0,7,1,8
392,718386,MIL,489119,84,6.0,1.0,2,0,7
393,718382,LAD,669160,104,5.0,2.0,4,4,3
394,718389,HOU,664285,109,7.0,3.0,3,0,8
395,718401,DET,571510,102,5.67,6.0,3,1,8
396,718399,WSH,641771,100,3.67,8.0,4,4,7
397,718385,BOS,678394,84,5.0,1.0,6,2,5
398,718384,SD,605397,73,3.33,7.0,3,1,6
399,718383,WSH,571578,91,5.33,3.0,2,1,7
400,718381,DET,593958,98,5.67,1.0,5,2,4
401,718379,TOR,592332,108,7.0,0.0,13,1,6
402,718378,MIN,641927,88,5.67,1.0,6,2,4
403,718376,MIL,669203,91,6.0,1.0,5,1,5
404,718375,MIA,665795,109,5.0,2.0,12,5,3
405,718374,TEX,543135,113,9.0,0.0,8,0,3
406,718373,CWS,458681,103,6.33,4.0,10,2,3
407,718372,HOU,664299,97,5.67,3.0,6,1,7
408,718369,LAD,477132,88,7.0,0.0,9,0,2
409,718366,COL,663562,54,2.0,7.0,2,2,7
410,718377,OAK,666205,80,5.0,1.0,3,2,5
411,718363,TOR,605135,96,5.0,4.0,7,4,2
412,718368,SD,506433,97,6.0,4.0,9,0,9
413,718367,WSH,680686,105,6.0,1.0,6,3,3
414,718370,BOS,519242,98,6.33,1.0,5,0,3
415,718364,MIA,663773,87,5.0,2.0,4,1,5
416,718362,MIN,543243,95,6.0,1.0,7,1,5
417,718365,MIL,607067,86,5.0,2.0,9,1,3
418,718359,LAD,592789,73,5.33,3.0,0,0,8
419,718360,DET,605513,83,4.0,2.0,3,2,5
420,718354,HOU,664353,84,5.33,2.0,3,1,3
421,718355,CWS,605182,90,5.0,2.0,8,1,7
422,718358,COL,596295,89,6.0,1.0,4,2,3
423,718357,OAK,686610,91,5.67,3.0,7,1,6
424,718356,TEX,527048,70,6.0,1.0,2,1,6
425,718361,NYM,656731,87,5.67,3.0,4,3,4
426,718352,NYM,660593,37,1.0,5.0,1,1,5
427,718351,NYY,593334,88,8.33,1.0,6,1,2
428,718353,BOS,446372,104,5.33,3.0,7,4,5
429,718349,WSH,669022,102,4.0,4.0,4,2,7
430,718345,SD,605483,101,6.0,3.0,7,0,8
431,718343,LAD,664062,80,4.67,3.0,3,2,5
432,718350,HOU,677651,8,0.0,0.0,0,0,1
433,718347,TB,642770,19,0.67,0.0,0,2,0
434,718346,MIA,645261,103,5.0,3.0,5,3,6
435,718344,WSH,592866,87,5.33,0.0,4,1,4
436,718342,TEX,592351,90,5.33,4.0,2,1,8
437,718341,BOS,656557,96,6.0,6.0,5,3,6
438,718340,CWS,656629,89,6.0,1.0,7,5,1
439,718339,NYY,543037,108,6.0,2.0,8,3,5
440,718337,HOU,686613,96,4.33,2.0,4,5,4
441,718336,KC,642232,80,3.67,5.0,5,3,5
442,718335,SD,608379,100,6.0,0.0,3,2,2
443,718332,OAK,695243,100,7.0,0.0,6,4,0
444,718331,LAD,628711,95,7.0,1.0,10,1,1
445,718338,STL,571927,93,5.0,4.0,4,2,6
446,718334,COL,663372,74,5.33,2.0,3,1,6
447,718326,HOU,664285,90,6.0,2.0,8,2,5
448,718348,DET,666214,83,6.0,5.0,2,1,9
449,718333,WSH,663623,81,4.33,1.0,3,4,2
450,718330,SD,607625,97,6.0,1.0,5,2,7
451,718329,DET,547179,96,7.0,1.0,1,2,4
452,718328,TB,663556,93,6.0,1.0,9,2,5
453,718327,LAD,694813,77,4.0,4.0,1,2,8
454,718325,TEX,571760,92,4.67,6.0,5,4,4
455,718323,BOS,601713,94,6.0,3.0,6,1,6
456,718322,CWS,656302,98,5.0,4.0,6,4,5
457,718321,MIA,666129,85,4.33,11.0,3,2,14
458,718320,STL,571945,103,5.67,3.0,5,0,8
459,718319,OAK,676664,97,6.0,0.0,7,2,4
460,718315,COL,607536,62,5.0,0.0,5,0,3
461,718314,KC,425844,44,5.0,0.0,3,0,3
462,718324,NYY,657376,79,4.33,0.0,4,2,6
463,718318,DET,593958,102,8.0,0.0,9,1,2
464,718317,WSH,571578,80,7.0,2.0,6,0,3
465,718316,BOS,678394,87,5.0,2.0,5,1,6
466,718313,COL,657756,75,5.0,3.0,1,0,7
467,718312,KC,543475,102,5.0,6.0,3,2,6
468,718311,STL,656427,74,2.33,10.0,3,1,9
469,718310,CWS,608337,101,7.0,1.0,7,3,2
470,718309,TB,621107,80,7.0,0.0,10,0,3
471,718308,MIA,666200,106,5.67,3.0,5,3,7
472,718304,OAK,607968,77,3.67,5.0,3,5,4
473,718307,PIT,448179,89,5.33,4.0,5,2,8
474,718306,CLE,685410,91,7.0,2.0,7,0,2
475,718305,CIN,668881,102,5.67,5.0,7,1,7
476,718303,CHC,657006,86,7.0,1.0,4,0,6
477,718302,NYM,673540,101,6.0,0.0,4,4,2
478,718301,PHI,554430,97,5.33,4.0,5,0,7
479,718300,TB,630023,77,5.33,3.0,0,4,3
480,718293,SF,640455,91,5.0,3.0,6,2,6
481,718298,ATL,608331,104,6.0,5.0,7,2,8
482,718297,SEA,622491,96,7.0,4.0,5,1,5
483,718296,AZ,518876,92,7.0,1.0,10,1,4
484,718295,SD,506433,94,6.67,1.0,6,1,4
485,718294,LAA,542881,103,5.0,2.0,6,5,5
486,718292,STL,656756,89,6.0,2.0,6,1,6
487,718299,KC,641745,95,4.33,6.0,1,4,11
488,718286,PIT,670912,89,5.0,6.0,3,3,10
489,718291,TB,656876,87,5.67,0.0,6,2,2
490,718290,NYM,656731,96,4.67,3.0,4,3,6
491,718289,CHC,592767,83,3.33,2.0,5,3,3
492,718288,STL,425794,90,5.0,4.0,5,0,8
493,718287,SF,502171,107,7.0,0.0,5,2,5
494,718285,CLE,671106,92,5.67,2.0,3,2,7
495,718274,SEA,594835,84,6.0,3.0,4,3,6
496,718283,ATL,675911,95,5.0,2.0,10,0,4
497,718282,AZ,674072,75,6.0,2.0,3,2,6
498,718281,CIN,666157,77,3.67,3.0,3,1,6
