game_pk,pitcher,np,ip,k,hits,bb
718399,641771,100.0,4.0,4.0,7.0,4.0
718401,571510,102.0,6.0,3.0,8.0,1.0
718354,664353,84.0,6.0,3.0,3.0,1.0
718355,605182,90.0,5.0,8.0,7.0,1.0
718356,527048,70.0,6.0,2.0,6.0,1.0
718357,686610,91.0,6.0,6.0,6.0,1.0
718358,596295,89.0,6.0,4.0,3.0,2.0
718359,592789,73.0,6.0,0.0,8.0,0.0
718360,605513,83.0,4.0,3.0,5.0,2.0
718362,543243,95.0,6.0,7.0,5.0,1.0
718363,605135,96.0,5.0,7.0,2.0,4.0
718364,663773,87.0,5.0,4.0,5.0,1.0
718365,607067,86.0,5.0,9.0,3.0,1.0
718367,680686,105.0,6.0,6.0,3.0,3.0
718368,506433,97.0,6.0,9.0,9.0,0.0
718370,519242,98.0,7.0,5.0,3.0,0.0
718343,664062,80.0,5.0,3.0,5.0,2.0
718345,605483,101.0,6.0,7.0,8.0,0.0
718349,669022,102.0,5.0,4.0,7.0,2.0
718350,677651,8.0,0.33999999999999997,0.0,1.0,0.0
718351,593334,88.0,9.0,6.0,2.0,1.0
718352,660593,37.0,2.0,1.0,5.0,1.0
718353,446372,104.0,6.0,7.0,5.0,4.0
718361,656731,87.0,6.0,4.0,4.0,3.0
718331,628711,95.0,7.0,10.0,1.0,1.0
718332,695243,100.0,7.0,6.0,0.0,4.0
718334,663372,74.0,6.0,2.0,6.0,1.0
718335,608379,100.0,6.0,3.0,2.0,2.0
718336,642232,80.0,4.0,5.0,5.0,3.0
718337,686613,96.0,5.0,4.0,4.0,5.0
718338,571927,93.0,5.0,4.0,6.0,2.0
718339,543037,108.0,6.0,8.0,5.0,3.0
718340,656629,89.0,6.0,7.0,1.0,5.0
718341,656557,96.0,6.0,5.0,6.0,3.0
718342,592351,90.0,6.0,2.0,8.0,1.0
718344,592866,87.0,6.0,4.0,4.0,1.0
718346,645261,103.0,5.0,5.0,6.0,3.0
718347,642770,19.0,0.6699999999999999,0.0,0.0,2.0
718314,425844,44.0,5.0,3.0,3.0,0.0
718315,607536,62.0,5.0,5.0,3.0,0.0
718319,676664,97.0,6.0,7.0,4.0,2.0
718320,571945,103.0,6.0,5.0,8.0,0.0
718321,666129,85.0,5.0,3.0,14.0,2.0
718322,656302,98.0,5.0,6.0,5.0,4.0
718323,601713,94.0,6.0,6.0,6.0,1.0
718324,657376,79.0,5.0,4.0,6.0,2.0
718325,571760,92.0,5.0,5.0,4.0,4.0
718326,664285,90.0,6.0,8.0,5.0,2.0
718327,694813,77.0,4.0,1.0,8.0,2.0
718328,663556,93.0,6.0,9.0,5.0,2.0
718329,547179,96.0,7.0,1.0,4.0,2.0
718330,607625,97.0,6.0,5.0,7.0,2.0
718333,663623,81.0,5.0,3.0,2.0,4.0
718348,666214,83.0,6.0,2.0,9.0,1.0
718304,607968,77.0,4.0,3.0,4.0,5.0
718308,666200,106.0,6.0,5.0,7.0,2.0
718309,621107,80.0,7.0,10.0,3.0,0.0
718310,608337,101.0,7.0,7.0,2.0,3.0
718311,656427,74.0,3.0,3.0,9.0,1.0
718312,543475,102.0,5.0,3.0,6.0,2.0
718313,657756,75.0,5.0,1.0,7.0,0.0
718316,678394,87.0,5.0,5.0,6.0,1.0
718317,571578,80.0,8.0,6.0,3.0,0.0
718318,593958,102.0,8.0,9.0,2.0,1.0
718292,656756,89.0,6.0,6.0,6.0,1.0
718293,640455,91.0,5.0,6.0,6.0,2.0
718294,542881,103.0,5.0,6.0,5.0,5.0
718295,506433,94.0,7.0,6.0,4.0,1.0
718296,518876,92.0,7.0,10.0,4.0,1.0
718297,622491,96.0,7.0,5.0,5.0,1.0
718298,608331,104.0,7.0,7.0,8.0,2.0
718299,641745,95.0,5.0,1.0,11.0,4.0
718300,630023,77.0,6.0,0.0,3.0,4.0
718301,554430,97.0,6.0,4.0,7.0,0.0
718302,673540,101.0,6.0,4.0,2.0,4.0
718303,657006,86.0,7.0,4.0,6.0,0.0
718305,668881,102.0,6.0,7.0,7.0,1.0
718306,685410,91.0,7.0,7.0,2.0,0.0
718307,448179,89.0,6.0,5.0,8.0,2.0
718274,594835,84.0,6.0,4.0,6.0,3.0
718275,672282,94.0,5.0,7.0,7.0,2.0
718279,605483,97.0,6.0,6.0,1.0,3.0
718280,663903,96.0,4.0,4.0,6.0,3.0
718281,666157,77.0,4.0,3.0,6.0,1.0
718282,674072,75.0,6.0,3.0,6.0,2.0
718283,675911,95.0,5.0,10.0,4.0,0.0
718284,663559,69.0,4.0,4.0,6.0,1.0
718285,671106,92.0,6.0,3.0,7.0,2.0
718286,670912,89.0,5.0,3.0,10.0,3.0
718287,502171,107.0,7.0,5.0,5.0,2.0
718288,425794,90.0,6.0,5.0,8.0,0.0
