game_pk,pitcher,np,ip,k,hits,bb
718351,615698,97.0,8.0,2.0,6.0,1.0
718352,675911,107.0,5.0,8.0,5.0,3.0
718353,621244,93.0,6.0,4.0,11.0,2.0
718361,450203,92.0,6.0,6.0,6.0,3.0
718331,621381,73.0,4.0,5.0,6.0,1.0
718332,682243,81.0,6.0,10.0,2.0,0.0
718334,642547,94.0,6.0,10.0,7.0,3.0
718335,668933,95.0,7.0,3.0,6.0,1.0
718336,669330,92.0,6.0,4.0,3.0,3.0
718337,543101,109.0,8.0,3.0,3.0,0.0
718338,663776,98.0,6.0,4.0,3.0,3.0
718339,676440,92.0,6.0,5.0,4.0,0.0
718340,657746,87.0,6.0,7.0,1.0,2.0
718341,579328,93.0,5.0,2.0,9.0,0.0
718342,668678,94.0,5.0,6.0,7.0,0.0
718344,669713,78.0,6.0,2.0,5.0,0.0
718346,693821,96.0,7.0,6.0,3.0,0.0
718347,672710,99.0,6.0,3.0,6.0,4.0
718314,502043,74.0,7.0,0.0,10.0,0.0
718315,641778,84.0,5.0,6.0,4.0,4.0
718319,669302,89.0,6.0,6.0,3.0,2.0
718320,660271,97.0,5.0,13.0,5.0,1.0
718321,657140,55.0,3.0,3.0,6.0,1.0
718322,686973,87.0,5.0,6.0,7.0,2.0
718323,666201,103.0,5.0,3.0,8.0,1.0
718324,669456,93.0,8.0,4.0,5.0,1.0
718325,694297,87.0,5.0,3.0,9.0,1.0
718326,657277,102.0,8.0,5.0,5.0,2.0
718327,605400,98.0,7.0,5.0,7.0,0.0
718328,656605,100.0,5.0,8.0,5.0,1.0
718329,453286,75.0,4.0,3.0,8.0,1.0
718330,570666,71.0,4.0,2.0,4.0,3.0
718333,573186,92.0,6.0,5.0,5.0,3.0
718348,664192,46.0,4.0,1.0,5.0,0.0
718304,669923,98.0,7.0,2.0,7.0,1.0
718308,689266,85.0,6.0,1.0,8.0,2.0
718309,592826,54.0,3.0,2.0,2.0,1.0
718310,641154,101.0,7.0,8.0,6.0,1.0
718311,656288,88.0,5.0,3.0,6.0,3.0
718312,680570,77.0,4.0,3.0,8.0,1.0
718313,489119,90.0,7.0,2.0,6.0,2.0
718316,592332,88.0,4.0,4.0,10.0,1.0
718317,592791,42.0,3.0,4.0,3.0,0.0
718318,434378,79.0,5.0,5.0,5.0,1.0
718292,571510,87.0,6.0,6.0,4.0,0.0
718293,669203,94.0,6.0,5.0,4.0,3.0
718294,641540,72.0,5.0,3.0,2.0,1.0
718295,477132,94.0,5.0,7.0,8.0,5.0
718296,680686,92.0,5.0,6.0,7.0,2.0
718297,664299,94.0,7.0,8.0,3.0,2.0
718298,665152,93.0,6.0,3.0,6.0,2.0
718299,666205,94.0,6.0,1.0,8.0,3.0
718300,666745,65.0,4.0,2.0,6.0,1.0
718301,519242,98.0,6.0,10.0,7.0,1.0
718302,622608,69.0,5.0,3.0,3.0,1.0
718303,665795,95.0,5.0,8.0,5.0,1.0
718305,458681,103.0,7.0,8.0,8.0,0.0
718306,641927,91.0,7.0,6.0,3.0,1.0
718307,605135,105.0,7.0,5.0,4.0,4.0
718274,641585,84.0,5.0,5.0,3.0,1.0
718275,543135,107.0,8.0,5.0,5.0,2.0
718279,669160,99.0,6.0,6.0,3.0,1.0
718280,686610,114.0,5.0,6.0,6.0,6.0
718281,605182,97.0,6.0,7.0,6.0,1.0
718282,669022,95.0,6.0,9.0,8.0,1.0
718283,680694,86.0,5.0,4.0,5.0,2.0
718284,446372,91.0,5.0,1.0,7.0,0.0
718285,543243,90.0,5.0,6.0,4.0,3.0
718286,621244,100.0,7.0,7.0,5.0,1.0
718287,607067,89.0,6.0,4.0,4.0,1.0
718288,605513,92.0,5.0,6.0,7.0,1.0
718289,598264,24.0,1.0,2.0,2.0,0.0
718290,596295,86.0,6.0,2.0,5.0,2.0
718291,593334,81.0,5.0,5.0,4.0,2.0
718262,656629,99.0,6.0,2.0,8.0,1.0
718263,592866,86.0,5.0,5.0,7.0,2.0
718264,527048,71.0,4.0,2.0,8.0,3.0
718265,656232,87.0,5.0,0.0,10.0,2.0
718266,628711,86.0,6.0,3.0,8.0,1.0
718267,605288,87.0,5.0,5.0,7.0,1.0
718268,695243,98.0,6.0,5.0,5.0,1.0
718269,645261,113.0,9.0,9.0,9.0,0.0
